id,name,genre,year
tt0016906,Frivolinas,"Comedy,Musical",2014
tt0062336,El Tango del Viudo y Su Espejo Deformante,Drama,2020
tt0065392,Bucharest Memories,Documentary,2020
tt0069049,The Other Side of the Wind,Drama,2018
tt0072306,Toula ou Le génie des eaux,Drama,2017
tt0100275,The Wandering Soap Opera,"Comedy,Drama,Fantasy",2017
tt0111414,A Thin Life,Comedy,2018
tt0112502,Bigfoot,"Horror,Thriller",2017
tt0116991,Mariette in Ecstasy,Drama,2019
tt0120589,A Dangerous Practice,Drama,2020
tt0137204,Joe Finds Grace,"Adventure,Animation,Comedy",2017
tt0170651,T.G.M. - osvoboditel,Documentary,2018
tt0192528,Heaven & Hell,Drama,2018
tt0276132,The Fetishist,Animation,2019
tt0276568,To Chase a Million,"Action,Drama",2018
tt0283440,Short Time Heroes,Sci-Fi,2015
tt0293429,Mortal Kombat,"Action,Adventure,Fantasy",2021
tt0297400,Snowblind,"Crime,Drama",2015
tt0305295,Bich bozhiy,Drama,2019
tt0308078,Les bâtisseurs,Documentary,2016
tt0315642,Wazir,"Action,Crime,Drama",2016
tt0326716,5-25-77,"Comedy,Drama",2017
tt0328810,My Land,"Drama,Family",2018
tt0329539,Rice Girl,"Adventure,Comedy,Family",2014
tt0330987,"Tiden är en dröm, del 2","Documentary,History",2014
tt0331314,Bunyan and Babe,"Adventure,Animation,Comedy",2017
tt0337926,Chatô - The King of Brazil,"Biography,Drama",2015
tt0338258,Instruments of Darkness,"Action,Drama,Fantasy",2014
tt0339736,The Evil Within,Horror,2017
tt0346045,Transeúntes,"Comedy,Drama",2015
tt0360556,Fahrenheit 451,"Drama,Sci-Fi,Thriller",2018
tt0364201,Aman Ke Farishtey,Action,2016
tt0365545,Nappily Ever After,"Comedy,Drama,Romance",2018
tt0365907,A Walk Among the Tombstones,"Action,Crime,Drama",2014
tt0368133,The Promise of Perfume,Documentary,2020
tt0369610,Jurassic World,"Action,Adventure,Sci-Fi",2015
tt0374682,"Gombrowicz, l'Argentine et moi",Documentary,2019
tt0376479,American Pastoral,"Crime,Drama",2016
tt0383477,Love & Orgasms,Drama,2020
tt0385887,Motherless Brooklyn,"Crime,Drama,Mystery",2019
tt0403935,Action Jackson,"Action,Thriller",2014
tt0420293,The Stanford Prison Experiment,"Biography,Drama,History",2015
tt0424859,The Ninth Cloud,Drama,2014
tt0427543,A Million Little Pieces,Drama,2018
tt0432010,The Queen of Sheba Meets the Atom Man,Comedy,2018
tt0435651,The Giver,"Drama,Romance,Sci-Fi",2014
tt0437086,Alita: Battle Angel,"Action,Adventure,Sci-Fi",2019
tt0439572,The Flash,"Action,Adventure,Fantasy",2022
tt0441881,Danger Close,"Action,Drama,War",2019
tt0443465,Before We Go,"Comedy,Drama,Romance",2014
tt0443533,The History of Love,"Drama,Romance,War",2016
tt0446792,Surviving in L.A.,"Comedy,Drama,Romance",2020
tt0448115,Shazam!,"Action,Adventure,Comedy",2019
tt0451201,Clawed,Horror,2017
tt0451272,Nefarious,"Crime,Thriller",2020
tt0451279,Wonder Woman,"Action,Adventure,Fantasy",2017
tt0455944,The Equalizer,"Action,Crime,Thriller",2014
tt0458413,A Long Way Down,"Comedy,Drama",2014
tt0458481,Frank Miller's Sin City: A Dame to Kill For,"Action,Crime,Thriller",2014
tt0460890,The Only Living Boy in New York,Drama,2017
tt0462335,High-Rise,"Drama,Sci-Fi",2015
tt0464054,House at the End of the Drive,"Horror,Thriller",2014
tt0470752,Ex Machina,"Drama,Sci-Fi,Thriller",2014
tt0470936,"Hot Country, Cold Winter",Drama,2016
tt0475290,"Hail, Caesar!","Comedy,Drama,Music",2016
tt0478970,Ant-Man,"Action,Adventure,Comedy",2015
tt0487947,Sabbatical,"Drama,Mystery,Thriller",2021
tt0490215,Silence,"Drama,History",2016
tt0491175,Suburbicon,"Comedy,Crime,Thriller",2017
tt0491203,Tulip Fever,"Drama,History,Romance",2017
tt0493076,Nina,"Biography,Drama,Music",2016
tt0493405,Chips,"Action,Comedy,Crime",2017
tt0498351,The Hero of Color City,"Animation,Family",2014
tt0498381,Rings,"Drama,Horror,Mystery",2017
tt0499097,Tom Clancy's Without Remorse,"Action,Adventure,Crime",2021
tt0765453,Have You Seen Me?,Comedy,2016
tt0772175,Jersey Justice,"Action,Thriller",2014
tt0775440,Cell,"Action,Drama,Horror",2016
tt0780548,Kid Cannabis,"Biography,Comedy,Crime",2014
tt0783640,The Last Full Measure,"Drama,War",2019
tt0787474,The Boxtrolls,"Adventure,Animation,Comedy",2014
tt0787524,The Man Who Knew Infinity,"Biography,Drama",2015
tt0790770,Miles Ahead,"Biography,Drama,Music",2015
tt0800325,The Dirt,"Biography,Comedy,Drama",2019
tt0803096,Warcraft,"Action,Adventure,Fantasy",2016
tt0810819,The Danish Girl,"Biography,Drama,Romance",2015
tt0810836,Dirt Music,"Crime,Drama,Romance",2019
tt0816692,Interstellar,"Adventure,Drama,Sci-Fi",2014
tt0821486,Manhattan Minutiae,"Comedy,Music,Romance",2016
tt0825283,Maximum Ride,"Action,Adventure,Comedy",2016
tt0825334,Caravaggio and My Mother the Pope,"Comedy,Drama",2018
tt0829150,Dracula Untold,"Action,Drama,Fantasy",2014
tt0831387,Godzilla,"Action,Adventure,Sci-Fi",2014
tt0835775,Electric Slide,"Action,Biography,Crime",2014
tt0835802,Krystal,"Comedy,Drama",2017
tt0837156,Pee-wee's Big Holiday,"Comedy,Family",2016
tt0837563,Pet Sematary,"Horror,Mystery,Thriller",2019
tt0838194,Retreat!,"Comedy,Drama,War",2016
tt0839742,Bhopal: A Prayer for Rain,Drama,2014
tt0844699,Ivan Mosjoukine ou L'enfant du carnaval,Documentary,2016
tt0846775,Cine Manifest,Documentary,2019
